"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportBy","reportMood","reportRating","roadType","showFacebookPic","speed","subtype","type","uuid","wazeData","street","provider","providerId","reportDescription","nearBy","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName","imageId","imageUrl"
"alert-664006096/904c15bc-1af6-3ac5-b504-56e950d1132e","Cabo de Santo Agostinho","[{""reportBy"":"""",""reportMillis"":1550360730713,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550363270202,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550365230160,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550374514715,""isThumbsUp"":true},{""reportBy"":""mvpereira_"",""reportMillis"":1550394218183,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550401955705,""isThumbsUp"":true},{""reportBy"":""GeorgeDeAlmeida"",""reportMillis"":1550418509233,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550421928098,""isThumbsUp"":true}]",3,"BR","alert-664006096/904c15bc-1af6-3ac5-b504-56e950d1132e",false,false,"{""x"":-35.006995,""y"":-8.249369}",348,0,0,8,1550357388778,10,"Anbpressao",1,2,4,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","904c15bc-1af6-3ac5-b504-56e950d1132e","world,-35.006995,-8.249369,904c15bc-1af6-3ac5-b504-56e950d1132e,664006096",,,,,,,,,,
"alert-660323978/0643210f-ebc7-3c40-a55b-89f798bed947","Jaboatão dos Guararapes","[{""reportBy"":""Marcos Raimundo "",""reportMillis"":1550373620689,""isThumbsUp"":true}]",0,"BR","alert-660323978/0643210f-ebc7-3c40-a55b-89f798bed947",false,false,"{""x"":-35.017807,""y"":-8.107003}",310,0,0,1,1550351043005,6,,10,3,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","0643210f-ebc7-3c40-a55b-89f798bed947","world,-35.017807,-8.107003,0643210f-ebc7-3c40-a55b-89f798bed947,660323978","Est. da Luz",,,,,,,,,
"alert-657598936/4f08e7a4-31c8-37e0-a750-e399dc208ff7","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550178522974,""isThumbsUp"":true},{""reportMillis"":1550243110734,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550304807667,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550436921993,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550439284998,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550439343767,""isThumbsUp"":true},{""reportBy"":""Julyocersa"",""reportMillis"":1550453712846,""isThumbsUp"":true}]",3,"BR","alert-657598936/4f08e7a4-31c8-37e0-a750-e399dc208ff7",false,false,"{""x"":-35.016799,""y"":-8.109353}",80,0,0,7,1550177492000,10,"antigerme",1,0,1,false,0,"","CHIT_CHAT","4f08e7a4-31c8-37e0-a750-e399dc208ff7","world,-35.016799,-8.109353,4f08e7a4-31c8-37e0-a750-e399dc208ff7,657598936",,"WazeWebFeed","1548035054579","Mapa é mantido pelos usuários. Participe! waze.com/editor",,,,,,
"alert-650450889/d774235f-1bd6-38d4-b648-11c2b83de174","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550255729461,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550263008170,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550319987821,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550335342159,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550351023193,""isThumbsUp"":false},{""reportBy"":""Marcos Raimundo "",""reportMillis"":1550372445521,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550415101248,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550439350414,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550439352337,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550450677775,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550450688316,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550457040274,""isThumbsUp"":true}]",5,"BR","alert-650450889/d774235f-1bd6-38d4-b648-11c2b83de174",false,false,"{""x"":-35.017406,""y"":-8.107193}",290,1,0,11,1550180939591,10,,50,2,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","d774235f-1bd6-38d4-b648-11c2b83de174","world,-35.017406,-8.107193,d774235f-1bd6-38d4-b648-11c2b83de174,650450889","Est. da Luz",,,,,,,,,
"alert-644435752/54385117-04ce-3f56-9adf-8f4689614b80","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550097210178,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550099835680,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550152920198,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550162250451,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550177042560,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550190041836,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550246984610,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550259644748,""isThumbsUp"":true},{""reportMillis"":1550277795185,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550281384320,""isThumbsUp"":true},{""reportBy"":""HenriqueLucSil"",""reportMillis"":1550319383430,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550327826840,""isThumbsUp"":true}]",5,"BR","alert-644435752/54385117-04ce-3f56-9adf-8f4689614b80",false,false,"{""x"":-35.01663,""y"":-8.107968}",344,0,0,12,1550095130549,10,,50,2,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","54385117-04ce-3f56-9adf-8f4689614b80","world,-35.01663,-8.107968,54385117-04ce-3f56-9adf-8f4689614b80,644435752","Est. da Luz",,,,,,,,,
"alert-655064778/1f8a76ae-80c0-30f9-8593-59bb4d1c928d","Moreno","[{""reportBy"":"""",""reportMillis"":1550328699732,""isThumbsUp"":true}]",0,"BR","alert-655064778/1f8a76ae-80c0-30f9-8593-59bb4d1c928d",false,false,"{""x"":-35.103316,""y"":-8.116277}",341,0,0,1,1550244635612,6,"HugooCavalcanti",18,2,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","1f8a76ae-80c0-30f9-8593-59bb4d1c928d","world,-35.103316,-8.116277,1f8a76ae-80c0-30f9-8593-59bb4d1c928d,655064778","R. Dez de Novembro",,,,,,,,,
"alert-667320434/25e8409f-ef9c-3362-b660-ac2dd7f9ec07","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550333824158,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550336362850,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550354832429,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550356777502,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550357976839,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550361636212,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550361955464,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550364078568,""isThumbsUp"":true},{""reportBy"":""HenriqueLucSil"",""reportMillis"":1550408736970,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550411142374,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550411745105,""isThumbsUp"":true}]",5,"BR","alert-667320434/25e8409f-ef9c-3362-b660-ac2dd7f9ec07",false,false,"{""x"":-35.017538,""y"":-8.107134}",114,0,0,11,1550332274318,10,,1,0,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","25e8409f-ef9c-3362-b660-ac2dd7f9ec07","world,-35.017538,-8.107134,25e8409f-ef9c-3362-b660-ac2dd7f9ec07,667320434","Est. da Luz",,,,,,,,,
"alert-651938980/8da01535-2265-3f38-a472-4130be573b1e","Jaboatão dos Guararapes","[{""reportBy"":""BAKURALNINJA"",""reportMillis"":1550288485389,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550358991156,""isThumbsUp"":true},{""reportBy"":""VictorPedroz4"",""reportMillis"":1550405662694,""isThumbsUp"":true},{""reportMillis"":1550436266655,""isThumbsUp"":true}]",2,"BR","alert-651938980/8da01535-2265-3f38-a472-4130be573b1e",false,false,"{""x"":-34.925378,""y"":-8.209659}",12,0,0,4,1550227240392,9,"Peixe_Aer",34,0,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","8da01535-2265-3f38-a472-4130be573b1e","world,-34.925378,-8.209659,8da01535-2265-3f38-a472-4130be573b1e,651938980","R. Campo Grande",,,,,,,,,
"alert-663879796/8d387be9-8a43-3c7d-82f1-547d677261b4","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550334064642,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550334065372,""isThumbsUp"":true},{""reportBy"":""vagnermendesMeow5"",""reportMillis"":1550353760542,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550373062098,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550375606780,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550385212687,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550404209516,""isThumbsUp"":true},{""reportBy"":""VictorPedroz4"",""reportMillis"":1550405659621,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550406589105,""text"":""obra de saneamento"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550411969972,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550419989430,""isThumbsUp"":true},{""reportBy"":""Alonso14hfj"",""reportMillis"":1550420707902,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550421171492,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550423089659,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550432189799,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550440283551,""isThumbsUp"":true},{""reportBy"":""RenanRodrigo2019"",""reportMillis"":1550440688689,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550442253640,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550442458153,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550444669892,""isThumbsUp"":true}]",5,"BR","alert-663879796/8d387be9-8a43-3c7d-82f1-547d677261b4",false,false,"{""x"":-34.92116,""y"":-8.199499}",252,1,0,19,1550330344334,10,,10,2,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","8d387be9-8a43-3c7d-82f1-547d677261b4","world,-34.92116,-8.199499,8d387be9-8a43-3c7d-82f1-547d677261b4,663879796","R. Sta. Lúcia",,,,,,,,,
"alert-657807584/c8660dd8-832a-324a-9cd3-c3b689576fd5","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550102372942,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550164443852,""isThumbsUp"":true},{""reportMillis"":1550165605907,""isThumbsUp"":true},{""reportBy"":""Peixe_Aer"",""reportMillis"":1550168653227,""isThumbsUp"":true},{""reportBy"":""RafaelMouraNinja3"",""reportMillis"":1550169982493,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550232516149,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550238064214,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550243553724,""text"":""??"",""isThumbsUp"":false},{""reportMillis"":1550256196481,""text"":""Bostanaro"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550258026021,""text"":""Bostanaro vai legalizar a pedofilia ! #EssaCulpaEuNãoCarrego"",""isThumbsUp"":false},{""reportBy"":""TiagoVianaBarros"",""reportMillis"":1550269025641,""isThumbsUp"":true},{""reportBy"":""Peixe_Aer"",""reportMillis"":1550272347855,""text"":""viva o 17😃"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550275818251,""text"":""Agora fudeu "",""isThumbsUp"":false},{""reportBy"":""Giliarde17"",""reportMillis"":1550280903246,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550308701359,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550340468327,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550345253873,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550358358650,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550366551842,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550378208649,""text"":""nuds"",""isThumbsUp"":false}]",5,"BR","alert-657807584/c8660dd8-832a-324a-9cd3-c3b689576fd5",false,false,"{""x"":-34.919774,""y"":-8.194528}",85,6,0,14,1550089515000,10,"antigerme",1,0,1,false,0,"","CHIT_CHAT","c8660dd8-832a-324a-9cd3-c3b689576fd5","world,-34.919774,-8.194528,c8660dd8-832a-324a-9cd3-c3b689576fd5,657807584","R. João Fragoso de Medeiros","WazeWebFeed","1550509308732","Mapa é mantido pelos usuários. Participe! waze.com/editor",,,,,,
"alert-655659341/2d910163-d133-3772-8c92-d17d638442ad","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550346223269,""isThumbsUp"":true},{""reportMillis"":1550355645433,""isThumbsUp"":true},{""reportBy"":""servulo16"",""reportMillis"":1550361938064,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550363186051,""isThumbsUp"":true},{""reportBy"":""Pietromartins"",""reportMillis"":1550363853000,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550367252576,""isThumbsUp"":true},{""reportMillis"":1550370204908,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550375565273,""isThumbsUp"":true},{""reportBy"":""mmarzari"",""reportMillis"":1550380091508,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550392498375,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550410379870,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550410575467,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550429264254,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550430870672,""isThumbsUp"":true},{""reportBy"":""Adelmofb"",""reportMillis"":1550433803930,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550437460123,""isThumbsUp"":true},{""reportMillis"":1550437725921,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550440440717,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550440959021,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550446490894,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550448267033,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550448470238,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550449503932,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550450205592,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550453405477,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550457247130,""isThumbsUp"":true}]",5,"BR","alert-655659341/2d910163-d133-3772-8c92-d17d638442ad",false,false,"{""x"":-34.917623,""y"":-8.175268}",97,0,0,26,1550342370308,10,"Catfirsh73",11,0,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","2d910163-d133-3772-8c92-d17d638442ad","world,-34.917623,-8.175268,2d910163-d133-3772-8c92-d17d638442ad,655659341","R. Francisco Mendes",,,,,,,,,
"alert-664742295/d00554a1-023b-391d-927a-d70c9dc8dce0","Jaboatão dos Guararapes","[{""reportMillis"":1550343363722,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550344758671,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550352138980,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550352838850,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550353236316,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550355334216,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550357188580,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550364460148,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550417753901,""isThumbsUp"":true}]",4,"BR","alert-664742295/d00554a1-023b-391d-927a-d70c9dc8dce0",false,false,"{""x"":-34.931233,""y"":-8.178852}",234,0,0,9,1550337566437,10,,10,2,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","d00554a1-023b-391d-927a-d70c9dc8dce0","world,-34.931233,-8.178852,d00554a1-023b-391d-927a-d70c9dc8dce0,664742295","Av. Miguel Arraes",,,,,,,,,
"alert-654702301/7818aa24-4c79-3b6c-9c7e-9e212e72c64c","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550370144768,""isThumbsUp"":true},{""reportBy"":""Eduardosouzzaa"",""reportMillis"":1550409856067,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550458453746,""isThumbsUp"":true}]",1,"BR","alert-654702301/7818aa24-4c79-3b6c-9c7e-9e212e72c64c",false,false,"{""x"":-34.933042,""y"":-8.180185}",233,0,0,3,1550337596161,8,,10,2,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","7818aa24-4c79-3b6c-9c7e-9e212e72c64c","world,-34.933042,-8.180185,7818aa24-4c79-3b6c-9c7e-9e212e72c64c,654702301","R. Canal",,,,,,,,,
"alert-660672175/aeb9cc95-6fdd-398a-8da2-bc4a5badcc31",,"[{""reportBy"":"""",""reportMillis"":1550336451588,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550360886606,""isThumbsUp"":true},{""reportBy"":""PedroRodrigues77"",""reportMillis"":1550374645228,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550428498310,""isThumbsUp"":true}]",2,"BR","alert-660672175/aeb9cc95-6fdd-398a-8da2-bc4a5badcc31",false,false,"{""x"":-34.918653,""y"":-8.180542}",0,0,0,4,1550272089681,9,"RosaluaNinja",47,1,,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","aeb9cc95-6fdd-398a-8da2-bc4a5badcc31","world,-34.918653,-8.180542,aeb9cc95-6fdd-398a-8da2-bc4a5badcc31,660672175",,,,,,,,,,
"alert-661548417/8cadf08d-6b5a-3242-a135-902b8bbb32db","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550373494585,""isThumbsUp"":true}]",0,"BR","alert-661548417/8cadf08d-6b5a-3242-a135-902b8bbb32db",false,false,"{""x"":-34.924142,""y"":-8.190416}",281,0,0,1,1550371994878,6,,10,0,2,false,0,"","HAZARD","8cadf08d-6b5a-3242-a135-902b8bbb32db","world,-34.924142,-8.190416,8cadf08d-6b5a-3242-a135-902b8bbb32db,661548417","R. Dr. Aniceto Varejão",,,,,,,,,
"alert-417976482/940b620d-140b-37ed-8573-32f281f9d7cf","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1545159254356,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1545673847078,""isThumbsUp"":true},{""reportBy"":""Danielcaruaru"",""reportMillis"":1546339018786,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546803398707,""isThumbsUp"":true},{""reportBy"":""Carolavourinha"",""reportMillis"":1546872853514,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1547158433724,""isThumbsUp"":true},{""reportMillis"":1547482704402,""isThumbsUp"":true},{""reportMillis"":1547678113865,""isThumbsUp"":true},{""reportBy"":""Sicariz"",""reportMillis"":1548802864551,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549572976812,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550051722412,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550450900593,""isThumbsUp"":true}]",5,"BR","alert-417976482/940b620d-140b-37ed-8573-32f281f9d7cf",false,false,"{""x"":-34.9434,""y"":-8.149309}",0,0,0,12,1545136335433,10,"JoaoNogueiraJr",0,0,,false,0,"ROAD_CLOSED_EVENT","ROAD_CLOSED","940b620d-140b-37ed-8573-32f281f9d7cf","world,-34.9434,-8.149309,940b620d-140b-37ed-8573-32f281f9d7cf,417976482","BR-101 Rod. Gov. Mário Covas",,,"Obras",,,,,,
"alert-416496433/68c254a6-1489-34a9-a554-7decd8225d61","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1545253532513,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1545673851137,""isThumbsUp"":true},{""reportBy"":""ItamardaCG160"",""reportMillis"":1546024464967,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546031921300,""isThumbsUp"":true},{""reportMillis"":1546276627174,""isThumbsUp"":true},{""reportMillis"":1546441726046,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546649785275,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546694041029,""isThumbsUp"":true},{""reportBy"":""Andrevictorfs"",""reportMillis"":1546849512416,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546855156371,""isThumbsUp"":true},{""reportBy"":""FabioMatos87"",""reportMillis"":1548272905126,""isThumbsUp"":true},{""reportBy"":""Sicariz"",""reportMillis"":1548802857990,""isThumbsUp"":true},{""reportBy"":""Dennysonml"",""reportMillis"":1549286730415,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549576258343,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550450895030,""isThumbsUp"":true}]",5,"BR","alert-416496433/68c254a6-1489-34a9-a554-7decd8225d61",false,false,"{""x"":-34.942865,""y"":-8.151085}",0,0,0,15,1545136279368,10,"JoaoNogueiraJr",0,0,,false,0,"ROAD_CLOSED_EVENT","ROAD_CLOSED","68c254a6-1489-34a9-a554-7decd8225d61","world,-34.942865,-8.151085,68c254a6-1489-34a9-a554-7decd8225d61,416496433","BR-101 Rod. Gov. Mário Covas",,,"Obras",,,,,,
"alert-607283273/4c414fbf-67c6-345a-b149-db57c0ccc206","Jaboatão dos Guararapes","[]",0,"BR","alert-607283273/4c414fbf-67c6-345a-b149-db57c0ccc206",false,false,"{""x"":-34.944021,""y"":-8.148045}",0,0,0,0,1549370023656,6,"JoaoNogueiraJr",0,0,,false,0,"ROAD_CLOSED_EVENT","ROAD_CLOSED","4c414fbf-67c6-345a-b149-db57c0ccc206","world,-34.944021,-8.148045,4c414fbf-67c6-345a-b149-db57c0ccc206,607283273","Desvio",,,"Obras",,,,,,
"alert-656140970/954cd048-aef6-337c-ae8b-609285e4b930","Jaboatão dos Guararapes","[]",0,"BR","alert-656140970/954cd048-aef6-337c-ae8b-609285e4b930",false,false,"{""x"":-34.975623,""y"":-8.150006}",76,0,0,0,1550331924209,5,,49,1,,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","954cd048-aef6-337c-ae8b-609285e4b930","world,-34.975623,-8.150006,954cd048-aef6-337c-ae8b-609285e4b930,656140970","Av. Rio Amazonas",,,,,,,,,
"alert-654138372/55bba200-df43-363a-87e9-7a66c2c3755f","Jaboatão dos Guararapes","[{""reportBy"":"""",""reportMillis"":1550376066117,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550402583212,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550402614166,""text"":""buraco muito grande "",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550410355886,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550410471901,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550414078298,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550436080959,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550436157210,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550448837910,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550454137197,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550455726173,""isThumbsUp"":true}]",5,"BR","alert-654138372/55bba200-df43-363a-87e9-7a66c2c3755f",false,false,"{""x"":-34.966669,""y"":-8.144345}",253,1,0,10,1550342020357,10,,1,2,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","55bba200-df43-363a-87e9-7a66c2c3755f","world,-34.966669,-8.144345,55bba200-df43-363a-87e9-7a66c2c3755f,654138372","R. Sebastião do Souto",,,,,,,,,
"alert-648552775/9dc8e1b3-b2b7-36d6-a2ad-aee968bf885a","Recife","[{""reportBy"":"""",""reportMillis"":1549898284790,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549904636111,""isThumbsUp"":true},{""reportMillis"":1549919144901,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549968498169,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549991655877,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550002437639,""isThumbsUp"":true},{""reportMillis"":1550053372296,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550057003734,""isThumbsUp"":true},{""reportBy"":""Filipe_Aguiar"",""reportMillis"":1550057206282,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550093347709,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550142260656,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550145809144,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550150558631,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550223271966,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550273999928,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550283197627,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550330989759,""isThumbsUp"":true},{""reportMillis"":1550345270887,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550349659106,""isThumbsUp"":true},{""reportMillis"":1550421610215,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550434326891,""isThumbsUp"":true}]",5,"BR","alert-648552775/9dc8e1b3-b2b7-36d6-a2ad-aee968bf885a",false,false,"{""x"":-34.911843,""y"":-8.152827}",15,0,0,21,1549882731990,10,"LazaroLuz",8,4,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","9dc8e1b3-b2b7-36d6-a2ad-aee968bf885a","world,-34.911843,-8.152827,9dc8e1b3-b2b7-36d6-a2ad-aee968bf885a,648552775","R. Min. Salgado Filho",,,,,,,,,
