"_id","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","nearBy","provider","providerId","pubMillis","reliability","reportBy","reportDescription","reportMood","reportRating","showFacebookPic","speed","subtype","type","uuid","wazeData","city","roadType","street","imageId","imageUrl","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName"
"alert-671952424/d1c2075c-6265-3914-b3ef-40067cdfa858","[{""reportBy"":"""",""reportMillis"":1550502801774,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550525804863,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550661299301,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550775866714,""isThumbsUp"":true},{""reportBy"":""DluccaSpeedy"",""reportMillis"":1550791099243,""isThumbsUp"":true},{""reportBy"":""duda1202"",""reportMillis"":1550797889430,""isThumbsUp"":true},{""reportBy"":""WillyVencedor"",""reportMillis"":1550945785980,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550951192984,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550959137248,""text"":""No *** da jovem"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550965851626,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551050049114,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551054807839,""isThumbsUp"":true},{""reportMillis"":1551055488070,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551057437456,""isThumbsUp"":true}]",5,"BR","alert-671952424/d1c2075c-6265-3914-b3ef-40067cdfa858",false,false,"{""x"":-35.02541529983409,""y"":-8.29436352951966}",0,1,0,13,"Cabo de Santo Agostinho","WazeWebFeed","1548035054974",1550501131000,10,"antigerme","Use o alerta 'Preços ⛽' para relatar a variação deles ;)",1,0,false,0,"","CHIT_CHAT","d1c2075c-6265-3914-b3ef-40067cdfa858","world,-35.02541529983409,-8.29436352951966,d1c2075c-6265-3914-b3ef-40067cdfa858,671952424",,,,,,,,
"alert-676780703/06856269-e91c-36fa-98a9-874d51bd0cc5","[{""reportBy"":"""",""reportMillis"":1550861260941,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550952996275,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550973319262,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551043734602,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551049650913,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551050174511,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551060486645,""isThumbsUp"":true}]",3,"BR","alert-676780703/06856269-e91c-36fa-98a9-874d51bd0cc5",false,false,"{""x"":-35.017374,""y"":-8.114359}",173,0,0,7,,"WazeWebFeed","1548035055457",1550829926000,10,"antigerme","Mapa é mantido pelos usuários. Participe! waze.com/editor",1,0,false,0,"","CHIT_CHAT","06856269-e91c-36fa-98a9-874d51bd0cc5","world,-35.017374,-8.114359,06856269-e91c-36fa-98a9-874d51bd0cc5,676780703","Jaboatão dos Guararapes",2,"R. Dr. José Rodrigues Neves",,,,,
"alert-691659998/701e9615-41c5-3693-9fd9-7ce0d3739e8e","[{""reportBy"":""apressadinhouber"",""reportMillis"":1550951412495,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550952929099,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550953721581,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550955746037,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550955956691,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550958041245,""isThumbsUp"":true},{""reportMillis"":1550958583676,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550962912353,""isThumbsUp"":true},{""reportBy"":""MarquesMaster"",""reportMillis"":1550965340072,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967906796,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550978679601,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550984544382,""isThumbsUp"":true},{""reportBy"":""MacielSama"",""reportMillis"":1550993203184,""isThumbsUp"":true}]",5,"BR","alert-691659998/701e9615-41c5-3693-9fd9-7ce0d3739e8e",false,false,"{""x"":-35.017902,""y"":-8.106868}",161,0,0,13,,,,1550948677069,10,,,47,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","701e9615-41c5-3693-9fd9-7ce0d3739e8e","world,-35.017902,-8.106868,701e9615-41c5-3693-9fd9-7ce0d3739e8e,691659998","Jaboatão dos Guararapes",2,"Est. da Luz",,,,,
"alert-679581208/0dcd93f3-a470-3fba-9e3b-44663f9e5efa","[{""reportBy"":"""",""reportMillis"":1550772806008,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550781340519,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550783795423,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550802386142,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550826587097,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550840078791,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550859650811,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550859904302,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550864009857,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550865849459,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550866888807,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550868740950,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550872106305,""isThumbsUp"":true},{""reportBy"":""Gaucho2905"",""reportMillis"":1550872773772,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550876604363,""isThumbsUp"":true},{""reportBy"":""OtaCilinho"",""reportMillis"":1550883513274,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550914575307,""isThumbsUp"":true},{""reportBy"":""BroSilva"",""reportMillis"":1550928978880,""isThumbsUp"":true},{""reportMillis"":1550931649855,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550939221929,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550945790474,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550946447143,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550955730330,""isThumbsUp"":true},{""reportBy"":""NilinhoCoelho"",""reportMillis"":1550964040452,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967398477,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550968394395,""isThumbsUp"":true},{""reportBy"":""FabrcioGomesNinja8"",""reportMillis"":1550968847465,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550974951102,""isThumbsUp"":true},{""reportBy"":""thamyb"",""reportMillis"":1551001954738,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551012529714,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551021777243,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551023147857,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551024165136,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551027713699,""isThumbsUp"":true},{""reportBy"":""edson2904"",""reportMillis"":1551041749493,""isThumbsUp"":true},{""reportBy"":""GigaNet_Fio"",""reportMillis"":1551042425858,""isThumbsUp"":true}]",5,"BR","alert-679581208/0dcd93f3-a470-3fba-9e3b-44663f9e5efa",false,false,"{""x"":-34.942377,""y"":-8.224381}",100,0,0,36,,,,1550772253887,10,,,1,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","0dcd93f3-a470-3fba-9e3b-44663f9e5efa","world,-34.942377,-8.224381,0dcd93f3-a470-3fba-9e3b-44663f9e5efa,679581208","Jaboatão dos Guararapes",2,"Est. de Curcurana",,,,,
"alert-674223151/b4dc8e4b-071e-33de-a3df-dc64a83a07a0","[{""reportBy"":"""",""reportMillis"":1550796570428,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550833772337,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550914549144,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550943257151,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967229321,""isThumbsUp"":true},{""reportBy"":""MarciaLeniradelima"",""reportMillis"":1550975744291,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550993762287,""isThumbsUp"":true}]",3,"BR","alert-674223151/b4dc8e4b-071e-33de-a3df-dc64a83a07a0",false,false,"{""x"":-34.925545,""y"":-8.215564}",122,0,0,7,,,,1550781299410,10,"rafaelarruda",,49,4,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","b4dc8e4b-071e-33de-a3df-dc64a83a07a0","world,-34.925545,-8.215564,b4dc8e4b-071e-33de-a3df-dc64a83a07a0,674223151","Jaboatão dos Guararapes",1,"R. Cap. Méd. Osias Ribeiro",,,,,
"alert-700199904/2ca4460e-ec5c-399e-a2bb-5c21a8be3c80","[{""reportBy"":"""",""reportMillis"":1550977122795,""isThumbsUp"":true}]",0,"BR","alert-700199904/2ca4460e-ec5c-399e-a2bb-5c21a8be3c80",false,false,"{""x"":-34.918718,""y"":-8.197258}",347,0,0,1,,,,1550975568924,6,,,34,0,false,0,"POLICE_HIDING","POLICE","2ca4460e-ec5c-399e-a2bb-5c21a8be3c80","world,-34.918718,-8.197258,2ca4460e-ec5c-399e-a2bb-5c21a8be3c80,700199904","Jaboatão dos Guararapes",2,"Av. Bernardo Vieira de Melo",,,,,
"alert-689001860/bd2cab79-743d-340a-85d7-482ad293ad11","[{""reportBy"":"""",""reportMillis"":1550958247166,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550963249614,""isThumbsUp"":true},{""reportMillis"":1550963317377,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550963345088,""isThumbsUp"":true},{""reportMillis"":1550965554092,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550966543919,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550966606100,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967106470,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967195344,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967232986,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967919326,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550971928049,""isThumbsUp"":true},{""reportBy"":""santos20189"",""reportMillis"":1550977769158,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550983012081,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550992476399,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551011480733,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551011998034,""isThumbsUp"":true},{""reportBy"":""ManuelNascimento"",""reportMillis"":1551016207955,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551017571572,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551018439877,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551019942607,""isThumbsUp"":true},{""reportBy"":""EltonRamos89"",""reportMillis"":1551021172881,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551023218883,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551029370538,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551029862787,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551036365988,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551043430558,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551044259962,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551044361045,""isThumbsUp"":true},{""reportBy"":""davibuonora"",""reportMillis"":1551044683709,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551047111317,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551048073466,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551049185524,""isThumbsUp"":true},{""reportBy"":""ReiDavi2013"",""reportMillis"":1551050350105,""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551050590645,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551051112088,""isThumbsUp"":true},{""reportBy"":""RomuloGelpkeCool"",""reportMillis"":1551051594522,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551051629940,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551051942163,""isThumbsUp"":true},{""reportBy"":""teclaudio1"",""reportMillis"":1551055546659,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551056509307,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551060580885,""isThumbsUp"":true}]",5,"BR","alert-689001860/bd2cab79-743d-340a-85d7-482ad293ad11",false,false,"{""x"":-34.922055,""y"":-8.195358}",176,1,0,41,,,,1550956440555,10,,,1,1,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","bd2cab79-743d-340a-85d7-482ad293ad11","world,-34.922055,-8.195358,bd2cab79-743d-340a-85d7-482ad293ad11,689001860","Jaboatão dos Guararapes",1,"R. Antônio Ferreira Campos",,,,,
"alert-692985667/c4bd5467-afb7-3623-9586-0b73cdbf19c4","[{""reportBy"":"""",""reportMillis"":1550977283181,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550977392260,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550977525937,""text"":""E blitz? "",""isThumbsUp"":false},{""reportBy"":""santos20189"",""reportMillis"":1550977536076,""text"":""Lei seca ?"",""isThumbsUp"":false},{""reportBy"":""santos20189"",""reportMillis"":1550977649385,""text"":""Nada "",""isThumbsUp"":false}]",1,"BR","alert-692985667/c4bd5467-afb7-3623-9586-0b73cdbf19c4",false,false,"{""x"":-34.920106,""y"":-8.182619}",193,3,0,2,,,,1550977240037,10,,,1,2,false,0,"POLICE_VISIBLE","POLICE","c4bd5467-afb7-3623-9586-0b73cdbf19c4","world,-34.920106,-8.182619,c4bd5467-afb7-3623-9586-0b73cdbf19c4,692985667","Jaboatão dos Guararapes",2,"Av. Ayrton Senna",,,,,
"alert-416496433/68c254a6-1489-34a9-a554-7decd8225d61","[{""reportBy"":"""",""reportMillis"":1545253532513,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1545673851137,""isThumbsUp"":true},{""reportBy"":""ItamardaCG160"",""reportMillis"":1546024464967,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546031921300,""isThumbsUp"":true},{""reportMillis"":1546276627174,""isThumbsUp"":true},{""reportMillis"":1546441726046,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546649785275,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546694041029,""isThumbsUp"":true},{""reportBy"":""Andrevictorfs"",""reportMillis"":1546849512416,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546855156371,""isThumbsUp"":true},{""reportBy"":""FabioMatos87"",""reportMillis"":1548272905126,""isThumbsUp"":true},{""reportBy"":""Sicariz"",""reportMillis"":1548802857990,""isThumbsUp"":true},{""reportBy"":""Dennysonml"",""reportMillis"":1549286730415,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549576258343,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550450895030,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550914653910,""isThumbsUp"":true}]",5,"BR","alert-416496433/68c254a6-1489-34a9-a554-7decd8225d61",false,false,"{""x"":-34.942865,""y"":-8.151085}",0,0,0,16,,,,1545136279368,10,"JoaoNogueiraJr","Obras",0,0,false,0,"ROAD_CLOSED_EVENT","ROAD_CLOSED","68c254a6-1489-34a9-a554-7decd8225d61","world,-34.942865,-8.151085,68c254a6-1489-34a9-a554-7decd8225d61,416496433","Jaboatão dos Guararapes",,"BR-101 Rod. Gov. Mário Covas",,,,,
"alert-607283273/4c414fbf-67c6-345a-b149-db57c0ccc206","[]",0,"BR","alert-607283273/4c414fbf-67c6-345a-b149-db57c0ccc206",false,false,"{""x"":-34.944021,""y"":-8.148045}",0,0,0,0,,,,1549370023656,6,"JoaoNogueiraJr","Obras",0,0,false,0,"ROAD_CLOSED_EVENT","ROAD_CLOSED","4c414fbf-67c6-345a-b149-db57c0ccc206","world,-34.944021,-8.148045,4c414fbf-67c6-345a-b149-db57c0ccc206,607283273","Jaboatão dos Guararapes",,"Desvio",,,,,
"alert-417976482/940b620d-140b-37ed-8573-32f281f9d7cf","[{""reportBy"":"""",""reportMillis"":1545159254356,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1545673847078,""isThumbsUp"":true},{""reportBy"":""Danielcaruaru"",""reportMillis"":1546339018786,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1546803398707,""isThumbsUp"":true},{""reportBy"":""Carolavourinha"",""reportMillis"":1546872853514,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1547158433724,""isThumbsUp"":true},{""reportMillis"":1547482704402,""isThumbsUp"":true},{""reportMillis"":1547678113865,""isThumbsUp"":true},{""reportBy"":""Sicariz"",""reportMillis"":1548802864551,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549572976812,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550051722412,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550450900593,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550914657309,""isThumbsUp"":true}]",5,"BR","alert-417976482/940b620d-140b-37ed-8573-32f281f9d7cf",false,false,"{""x"":-34.9434,""y"":-8.149309}",0,0,0,13,,,,1545136335433,10,"JoaoNogueiraJr","Obras",0,0,false,0,"ROAD_CLOSED_EVENT","ROAD_CLOSED","940b620d-140b-37ed-8573-32f281f9d7cf","world,-34.9434,-8.149309,940b620d-140b-37ed-8573-32f281f9d7cf,417976482","Jaboatão dos Guararapes",,"BR-101 Rod. Gov. Mário Covas",,,,,
"alert-686173174/ad6a6288-7204-3b8d-a9cf-b7dce631691f","[{""reportBy"":"""",""reportMillis"":1550746577923,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550751953596,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550759281568,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550779017124,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550783301901,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550794640709,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550796620109,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550798903682,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550799080662,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550827349546,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550830008139,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550836508074,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550852663120,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550861342090,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550869109074,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550870238400,""isThumbsUp"":true},{""reportMillis"":1550870895803,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550874837490,""isThumbsUp"":true},{""reportBy"":""RicardoSouto7"",""reportMillis"":1550875049895,""isThumbsUp"":true},{""reportMillis"":1550875155374,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550884686777,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550891096048,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550891096511,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550894700228,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550914672063,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550918330747,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550926185266,""isThumbsUp"":true},{""reportBy"":""kacius_kilo"",""reportMillis"":1550926507963,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550928347663,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550934155646,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550946736700,""isThumbsUp"":true},{""reportBy"":""STATUSgle"",""reportMillis"":1550948203884,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550957991816,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550961096048,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550961894034,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550966765713,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967012518,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967474733,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550968371582,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550968490248,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550969300921,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550969483869,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550972028944,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550973702726,""isThumbsUp"":true},{""reportMillis"":1550977086021,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550977305037,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550994029132,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551005585190,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551014003866,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551017842343,""isThumbsUp"":true}]",5,"BR","alert-686173174/ad6a6288-7204-3b8d-a9cf-b7dce631691f",false,false,"{""x"":-34.937225,""y"":-8.13212}",342,0,0,50,,,,1550734963979,10,"afrociberdalia",,50,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","ad6a6288-7204-3b8d-a9cf-b7dce631691f","world,-34.937225,-8.13212,ad6a6288-7204-3b8d-a9cf-b7dce631691f,686173174","Recife",,"R. Dr. Andrade Lyra",,,,,
"alert-685654612/e6d2c713-71ce-3d58-9091-65ab4f52c6e9","[{""reportBy"":"""",""reportMillis"":1550941292208,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550942806714,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550953726443,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550962721291,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550972226967,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550984067902,""isThumbsUp"":true}]",2,"BR","alert-685654612/e6d2c713-71ce-3d58-9091-65ab4f52c6e9",false,false,"{""x"":-34.967153,""y"":-8.140678}",164,0,0,6,,,,1550925537499,10,,,23,0,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","e6d2c713-71ce-3d58-9091-65ab4f52c6e9","world,-34.967153,-8.140678,e6d2c713-71ce-3d58-9091-65ab4f52c6e9,685654612","Jaboatão dos Guararapes",2,"Av. Fernandes Vieira",,,,,
"alert-694062967/2d98e442-d6aa-32df-bdea-c4f432006396","[{""reportBy"":"""",""reportMillis"":1550962208860,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550963238872,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550963347643,""isThumbsUp"":true},{""reportBy"":""Rogerlima9"",""reportMillis"":1550963930223,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967185096,""isThumbsUp"":true},{""reportBy"":""Jolimade60"",""reportMillis"":1550967487481,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550968565027,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550970274199,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550970320319,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550971315094,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550971766327,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550972204350,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550973069674,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550974738784,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550974904759,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550975073414,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550977014372,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550979334721,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550980414240,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550982149232,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550982778265,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550984184729,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550988935089,""isThumbsUp"":true},{""reportBy"":""DayvsonSilvaNinja7"",""reportMillis"":1551004636823,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551005192333,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551010677609,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551012150399,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551012391553,""isThumbsUp"":true}]",5,"BR","alert-694062967/2d98e442-d6aa-32df-bdea-c4f432006396",false,false,"{""x"":-34.916338,""y"":-8.165663}",106,0,0,28,,,,1550960972457,10,,"faixa da esquerda. buraco enorme",24,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","2d98e442-d6aa-32df-bdea-c4f432006396","world,-34.916338,-8.165663,2d98e442-d6aa-32df-bdea-c4f432006396,694062967","Jaboatão dos Guararapes",2,"R. Arão Lins de Andrade",,,,,
"alert-689370695/fb10c7fd-8acb-3be3-a4cd-8b9b39962990","[{""reportBy"":"""",""reportMillis"":1550898996824,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550914473230,""isThumbsUp"":true}]",1,"BR","alert-689370695/fb10c7fd-8acb-3be3-a4cd-8b9b39962990",false,false,"{""x"":-34.9194,""y"":-8.156258}",140,0,0,2,,,,1550892388147,7,"OficialZkavurska",,34,0,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","fb10c7fd-8acb-3be3-a4cd-8b9b39962990","world,-34.9194,-8.156258,fb10c7fd-8acb-3be3-a4cd-8b9b39962990,689370695","Jaboatão dos Guararapes",1,"R. São João",,,,,
"alert-690495999/74d285f8-57e7-36eb-bdfc-73bd0023148c","[{""reportBy"":"""",""reportMillis"":1550934955198,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550962115136,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550967494111,""isThumbsUp"":true},{""reportMillis"":1550973653584,""isThumbsUp"":true}]",1,"BR","alert-690495999/74d285f8-57e7-36eb-bdfc-73bd0023148c",false,false,"{""x"":-34.917702,""y"":-8.155792}",127,0,0,4,,,,1550932392781,10,,,46,2,false,0,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","74d285f8-57e7-36eb-bdfc-73bd0023148c","world,-34.917702,-8.155792,74d285f8-57e7-36eb-bdfc-73bd0023148c,690495999","Jaboatão dos Guararapes",2,"Av. 4 de Outubro",,,,,
